iter	Passed	Remaining
0	159	158898
1	175	87635
2	191	63498
3	207	51551
4	222	44344
5	238	39540
6	254	36109
7	269	33435
8	283	31246
9	297	29469
10	311	28023
11	325	26792
12	339	25758
13	354	25001
14	368	24206
15	382	23520
16	397	22975
17	412	22528
18	428	22111
19	442	21680
20	455	21225
21	468	20844
22	482	20512
23	498	20255
24	516	20134
25	533	19986
26	553	19942
27	571	19838
28	594	19907
29	618	19982
30	641	20049
31	664	20092
32	691	20268
33	713	20271
34	740	20406
35	764	20460
36	781	20340
37	800	20276
38	819	20197
39	839	20150
40	856	20031
41	875	19979
42	895	19926
43	915	19886
44	933	19816
45	955	19809
46	975	19776
47	995	19737
48	1017	19755
49	1037	19711
50	1056	19650
51	1076	19619
52	1109	19816
53	1144	20056
54	1171	20123
55	1196	20167
56	1232	20386
57	1261	20490
58	1281	20436
59	1306	20475
60	1327	20440
61	1346	20365
62	1366	20327
63	1385	20259
64	1406	20227
65	1426	20181
66	1446	20149
67	1467	20106
68	1487	20071
69	1509	20052
70	1528	19999
71	1552	20003
72	1573	19983
73	1596	19976
74	1619	19974
75	1641	19953
76	1666	19972
77	1688	19956
78	1713	19976
79	1736	19971
80	1758	19954
81	1781	19948
82	1807	19968
83	1842	20096
84	1867	20099
85	1889	20078
86	1908	20030
87	1932	20027
88	1954	20007
89	1974	19960
90	1994	19922
91	2024	19984
92	2050	19995
93	2073	19984
94	2096	19970
95	2115	19922
96	2134	19874
97	2153	19819
98	2172	19772
99	2193	19743
100	2216	19731
101	2233	19661
102	2251	19606
103	2267	19534
104	2282	19457
105	2299	19392
106	2315	19323
107	2330	19250
108	2346	19181
109	2360	19099
110	2376	19033
111	2392	18967
112	2407	18898
113	2422	18825
114	2436	18753
115	2451	18682
116	2467	18625
117	2486	18587
118	2502	18527
119	2520	18485
120	2539	18446
121	2556	18397
122	2573	18348
123	2589	18293
124	2606	18243
125	2622	18190
126	2639	18147
127	2656	18098
128	2672	18045
129	2689	17997
130	2705	17945
131	2722	17899
132	2738	17849
133	2755	17804
134	2771	17757
135	2789	17723
136	2806	17679
137	2823	17638
138	2841	17597
139	2858	17561
140	2877	17530
141	2895	17494
142	2911	17449
143	2929	17414
144	2946	17374
145	2965	17343
146	2982	17307
147	2999	17270
148	3018	17240
149	3036	17208
150	3054	17176
151	3072	17139
152	3091	17111
153	3110	17087
154	3129	17059
155	3145	17017
156	3163	16984
157	3180	16949
158	3198	16917
159	3214	16877
160	3229	16827
161	3243	16777
162	3258	16732
163	3274	16691
164	3288	16642
165	3302	16594
166	3318	16550
167	3332	16501
168	3346	16456
169	3361	16411
170	3376	16370
171	3391	16325
172	3406	16284
173	3422	16245
174	3437	16205
175	3453	16170
176	3471	16139
177	3488	16108
178	3504	16072
179	3521	16042
180	3538	16012
181	3555	15980
182	3572	15947
183	3589	15917
184	3606	15889
185	3623	15857
186	3641	15833
187	3658	15802
188	3675	15773
189	3692	15741
190	3708	15709
191	3726	15681
192	3743	15653
193	3761	15627
194	3777	15594
195	3796	15575
196	3812	15541
197	3831	15518
198	3847	15488
199	3864	15458
200	3882	15435
201	3899	15404
202	3916	15375
203	3933	15348
204	3954	15335
205	3972	15311
206	3990	15286
207	4008	15263
208	4024	15232
209	4043	15209
210	4060	15184
211	4077	15155
212	4093	15122
213	4109	15094
214	4126	15066
215	4143	15037
216	4160	15012
217	4176	14981
218	4192	14952
219	4208	14920
220	4222	14883
221	4242	14867
222	4256	14831
223	4271	14797
224	4287	14768
225	4302	14733
226	4317	14700
227	4333	14671
228	4348	14641
229	4364	14610
230	4380	14581
231	4394	14548
232	4410	14518
233	4426	14489
234	4444	14469
235	4462	14446
236	4480	14425
237	4497	14401
238	4514	14375
239	4531	14349
240	4547	14322
241	4564	14295
242	4580	14268
243	4597	14245
244	4615	14222
245	4630	14193
246	4648	14171
247	4665	14146
248	4681	14120
249	4698	14096
250	4714	14068
251	4730	14040
252	4747	14016
253	4763	13989
254	4781	13968
255	4797	13942
256	4813	13915
257	4829	13889
258	4847	13868
259	4864	13844
260	4881	13821
261	4897	13796
262	4914	13772
263	4933	13754
264	4950	13731
265	4968	13711
266	4988	13694
267	5005	13670
268	5021	13646
269	5037	13620
270	5053	13595
271	5071	13573
272	5087	13548
273	5104	13526
274	5121	13501
275	5137	13477
276	5154	13453
277	5170	13427
278	5186	13401
279	5200	13372
280	5215	13345
281	5230	13317
282	5246	13292
283	5261	13265
284	5276	13237
285	5291	13210
286	5307	13184
287	5323	13160
288	5340	13138
289	5354	13109
290	5369	13082
291	5385	13058
292	5401	13032
293	5416	13007
294	5434	12988
295	5450	12964
296	5467	12941
297	5483	12917
298	5499	12894
299	5516	12871
300	5533	12849
301	5549	12826
302	5566	12803
303	5584	12784
304	5601	12763
305	5616	12739
306	5634	12719
307	5652	12699
308	5670	12680
309	5687	12660
310	5707	12644
311	5726	12626
312	5743	12606
313	5760	12585
314	5780	12570
315	5800	12556
316	5819	12538
317	5836	12517
318	5854	12497
319	5870	12474
320	5886	12452
321	5904	12431
322	5922	12412
323	5940	12395
324	5960	12379
325	5978	12360
326	5996	12342
327	6014	12321
328	6034	12308
329	6053	12291
330	6070	12269
331	6089	12251
332	6104	12228
333	6122	12209
334	6139	12188
335	6156	12166
336	6171	12142
337	6186	12117
338	6201	12092
339	6216	12067
340	6231	12042
341	6247	12020
342	6264	11998
343	6279	11974
344	6295	11951
345	6310	11928
346	6326	11906
347	6343	11884
348	6357	11859
349	6374	11838
350	6390	11815
351	6406	11793
352	6424	11774
353	6441	11754
354	6456	11731
355	6473	11710
356	6490	11689
357	6506	11668
358	6524	11649
359	6543	11632
360	6561	11615
361	6584	11605
362	6605	11592
363	6627	11580
364	6649	11568
365	6669	11552
366	6687	11534
367	6705	11515
368	6726	11502
369	6748	11490
370	6769	11476
371	6789	11462
372	6807	11443
373	6829	11430
374	6848	11414
375	6866	11395
376	6883	11374
377	6901	11357
378	6924	11346
379	6945	11332
380	6963	11313
381	6984	11298
382	7003	11282
383	7020	11261
384	7037	11241
385	7054	11221
386	7072	11202
387	7088	11180
388	7105	11160
389	7123	11141
390	7138	11118
391	7154	11097
392	7169	11074
393	7183	11049
394	7198	11026
395	7213	11002
396	7228	10979
397	7244	10958
398	7259	10934
399	7274	10911
400	7289	10889
401	7304	10866
402	7319	10843
403	7334	10820
404	7349	10798
405	7365	10776
406	7382	10756
407	7399	10736
408	7415	10715
409	7432	10696
410	7449	10675
411	7464	10653
412	7481	10632
413	7497	10611
414	7514	10592
415	7531	10572
416	7547	10551
417	7565	10533
418	7581	10513
419	7598	10493
420	7615	10473
421	7631	10452
422	7648	10432
423	7664	10411
424	7680	10391
425	7698	10372
426	7713	10351
427	7730	10331
428	7746	10310
429	7763	10290
430	7781	10272
431	7796	10250
432	7813	10232
433	7828	10209
434	7845	10190
435	7861	10170
436	7878	10150
437	7896	10132
438	7913	10112
439	7929	10091
440	7945	10072
441	7962	10051
442	7978	10031
443	7994	10010
444	8013	9994
445	8032	9977
446	8050	9959
447	8067	9940
448	8084	9921
449	8101	9902
450	8119	9883
451	8135	9863
452	8149	9840
453	8164	9819
454	8178	9796
455	8191	9772
456	8205	9749
457	8218	9725
458	8231	9701
459	8244	9678
460	8257	9655
461	8271	9631
462	8284	9608
463	8298	9586
464	8312	9563
465	8326	9541
466	8340	9519
467	8354	9496
468	8368	9474
469	8384	9454
470	8399	9434
471	8415	9414
472	8432	9394
473	8447	9373
474	8461	9352
475	8477	9331
476	8493	9312
477	8509	9292
478	8525	9273
479	8542	9253
480	8558	9234
481	8575	9215
482	8589	9194
483	8606	9175
484	8623	9156
485	8638	9136
486	8653	9115
487	8668	9094
488	8684	9075
489	8700	9055
490	8716	9035
491	8731	9015
492	8747	8995
493	8764	8977
494	8780	8957
495	8797	8939
496	8812	8918
497	8829	8900
498	8843	8879
499	8860	8860
500	8877	8842
501	8893	8822
502	8909	8803
503	8924	8783
504	8941	8764
505	8958	8746
506	8975	8727
507	8991	8707
508	9006	8688
509	9022	8668
510	9041	8652
511	9059	8634
512	9077	8616
513	9093	8598
514	9108	8578
515	9124	8558
516	9138	8537
517	9151	8515
518	9165	8494
519	9178	8472
520	9191	8450
521	9203	8428
522	9217	8406
523	9232	8386
524	9245	8365
525	9259	8344
526	9273	8323
527	9286	8301
528	9299	8279
529	9312	8258
530	9326	8237
531	9339	8215
532	9356	8197
533	9372	8179
534	9388	8160
535	9404	8141
536	9419	8121
537	9434	8101
538	9449	8082
539	9465	8063
540	9482	8045
